Temperature,State of Charge,Gassing
0.9999999999999999,0.6050816173239337,0
0.7120353355949092,0.6338180308447435,0
0.5474231967355007,0.8987782131045103,0
0.4470729851583175,0.7861486280725009,0
0.11393577793671283,0.8456455424401066,0
0.11391762479270195,0.7273678429858448,0
0.04022844618883703,0.7541749742957524,0
0.6484106819742504,0.8797691500365988,0
0.4489218036452689,0.39992197824702097,0
0.5294196290191105,0.5918175448145061,0
0.01200606273749577,0.37714444150911636,0
0.7264821835078754,0.9905990165373169,0
0.6230223537530887,0.9556957115627099,0
0.1563233858949722,0.23165009748070514,0
0.13335799613131927,0.7648188528793922,0
0.1345467829820995,0.9406398322467175,0
0.22549102467642562,0.3446219104578389,0
0.3914532217168901,0.6546632341885812,0
0.32160199761659936,0.9328281525554257,0
0.21569717359767848,0.22726337379610145,0
0.45700329110652094,0.7582918673815993,0
0.10149898746925534,0.43808467610273255,0
0.21638619853508123,0.9399578147359768,0
0.2722431425913129,0.9773049711073023,0
0.3397587988385019,0.9558615088663154,0
0.5874487609222712,0.5796432372397319,0
0.14679127478658244,0.8900515722311123,0
0.3835342160405707,0.8760504034481675,0
0.44237372334043823,0.4554940141162782,0
0.031473130484870715,0.863537395097191,0
0.4537609951988911,0.6050816173239337,0
0.12485281635015899,0.6773335853662524,0
0.04547265025706071,0.38418726110250057,0
0.710658977234782,0.29659261630786454,1
0.7232626344232309,0.26168529677992536,1
0.6049255155118353,0.7573862495343147,0
0.22577064072778713,0.47212140510479667,0
0.07002333050967052,0.7801793364543866,0
0.5114776347585717,0.2524034547518865,1
0.32777906317202876,0.45244447549343725,0
0.9999999999999999,0.0,0
0.3691912420747917,0.8329692105767625,0
0.022395174806633944,0.4552155072422072,0
0.6808816790060609,0.7010419033909201,0
0.19127546320589983,0.9092086350624093,0
0.49513781331833884,0.6930155882897964,0
0.23111217750574387,0.3865488787196839,0
0.387924655576418,0.21962363298616833,0
0.40797600794460165,0.8964995747985942,0
0.13563803325845736,0.21711736093107356,0
0.37854885200302213,0.900183541677084,0
0.5798901486488969,0.6234421136575446,0
0.7035944883115176,0.9517005248037054,0
0.6699739967915024,0.8394202930072281,0
0.4465021229336361,0.9988157523750459,0
0.6903298769168681,0.4807949545145085,1
0.06311462056627981,0.8141324750564128,0
0.14401343471784545,0.5217894602583436,0
0.030552589653043694,0.5841744854001065,0
0.24136222736118046,0.7023337787305843,0
0.28903807326709374,0.6050816173239337,0
0.2007351138257742,0.9877300398937788,0
0.6202338175939909,0.8150009823498813,0
0.26501163275128325,0.53446409975642,0
0.20794928441398058,0.5373376235825824,0
0.40495486530417024,0.7904365713444749,0
0.1025755005362643,0.39120519943609044,0
0.6002590285337442,0.2885146094493608,1
0.052621774458752935,0.4839246961752657,0
0.7392593850553947,0.4299928683132568,1
0.5777165570056835,0.43725157582930746,1
0.14607019427229423,0.3870677431141633,0
0.0006698978258546928,0.23378420103092132,0
0.6102420454824615,0.21439970540437525,1
0.5285050262118569,0.9906425423432711,0
0.5451753072006595,0.5424729373112951,0
0.5769831923260998,0.5076994386054265,0
0.0522409575349288,0.74406680790996,0
0.2663004113784825,0.37477888885543864,0
0.08371861731136998,0.9604194024761995,0
0.9999999999999999,0.0,0
0.46561713984453923,0.2716562138797564,0
0.24555255519942676,0.5343152248252672,0
0.04434881400609286,0.903718507546969,0
0.2305637063270946,0.9562341101659284,0
0.24125158644032446,0.5741905154814595,0
0.5456261310934488,0.6910532287278469,0
0.47634893066675743,0.3337837079025519,0
0.6642431317790802,0.9934008251521296,0
0.3519097170466874,0.3855181766042609,0
0.08652224697908689,0.6050816173239337,0
0.5333123093278775,0.7200550389643321,0
0.5690918039549587,0.6865114230674774,0
0.41893928322173124,0.6104371156528358,0
0.5767550246190103,0.3847162887707759,1
0.36815164518710763,0.34138254063314066,0
0.38993022912667197,0.3765655838140956,0
0.31828748272199414,0.3493144449610153,0
0.015644677684820973,0.8240540761881598,0
0.07771453462565975,0.4803254892982382,0
0.37854885200302213,0.24638970279721562,0
0.4754856364993506,0.9757397449662574,0
0.23310277160417325,0.9074543216371993,0
0.37927159719246584,0.9426439448380071,0
0.6795616470778504,0.996393586022555,0
0.18413484222706256,0.3392753260798533,0
0.30537404974082627,0.5172362089299462,0
0.565152686838747,0.8069692647903217,0
0.1687107107853753,0.7571716226106492,0
0.05445007562029919,0.32326834419137096,0
0.21458504457907435,0.8530666047655175,0
0.11785136586541045,0.37973055846174175,0
0.6962178949828101,0.37923195899769846,1
0.6047170649369082,0.6298749618810136,0
0.4732227842465646,0.6746683804211924,0
0.6523878319715476,0.6643805736372838,0
0.6013692074231667,0.27331766119915013,1
0.13692922138868074,0.902391929410682,0
0.6682668020141376,0.4126735859818352,1
0.4024307154320157,0.3037544037294058,0
0.9999999999999999,0.6050816173239337,0
0.6709252636307981,0.9649737899958484,0
0.2358479287491111,0.8901195771476461,0
0.07934055660484912,0.8480105931854918,0
0.16806120216897502,0.7245334047220012,0
0.3179614277020091,0.6409865315951708,0
0.6121637245293702,0.2697159099189095,1
0.6443122721388266,0.5270097482437612,0
0.00174614678901297,0.4983845656315531,0
0.3809097467118071,0.40799438428283524,0
0.3106634854164866,0.7791015046582409,0
0.16367545194361421,0.5969805835282447,0
0.08672629689856359,0.2649612446857434,0
0.25060797773778254,0.376323064371485,0
0.706161477838672,0.7469573484027007,0
0.23976111601586025,0.26102711436848935,0
0.38696326611701515,0.8813789150343451,0
0.525616201671231,0.5963969433378453,0
0.2701868181990973,0.5847435179055728,0
0.7278912515538032,0.6742424605107501,0
0.7208657540200195,0.860148198918066,0
0.18600890275303067,0.47847177886048187,0
0.37075035529686173,0.7427612914902486,0
0.22295927949290062,0.6528917901014968,0
0.21088898550385193,0.413816704191005,0
